ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
203.118.189.1,wlg-wtc-rdns2.ihug.net.,NZ,Wellington,unbound 1.4.21,,true,0.98,2019-03-23T12:22:41Z,2015-01-08T02:08:05Z
82.198.189.24,ns1.global1.ru.,RU,Moscow,,,false,0.98,2019-03-23T12:22:39Z,2015-01-08T02:09:53Z
195.238.110.57,,UA,Khmelnytskyi,,,false,0.98,2019-03-23T12:22:38Z,2015-01-08T02:10:18Z
212.80.57.204,204-57-80-212.dhcp.homenet.adamant.net.,UA,Kyiv,dnsmasq-2.45,,false,0.89,2019-03-23T12:22:39Z,2015-01-08T02:11:28Z
59.125.13.73,mail.sendsheen.com.tw.,TW,Chang-hua,9.8.2rc1-RedHat-9.8.2-0.47.rc1.el6_8.3,,true,0.98,2019-03-23T12:22:41Z,2015-01-08T02:11:48Z
89.109.252.31,ipoe-static.mosoblast.rt.ru.,RU,Kolomna,,,false,0.98,2019-03-23T12:22:38Z,2015-01-08T02:11:59Z
202.161.69.18,202-161-69-18.static.tpgi.com.au.,AU,Rockdale,unbound,,false,0.79,2019-03-23T12:22:40Z,2015-01-08T02:12:02Z
185.13.77.251,insalfacs.cat.,ES,Tortosa,,,false,0.98,2019-03-23T12:22:38Z,2015-01-08T02:12:16Z
89.249.12.243,,DK,Horsens,,,false,0.99,2019-03-23T12:22:38Z,2015-01-08T02:12:17Z
79.174.160.149,int0.client.access.fanaptelecom.net.,IR,Tehran,,,false,0.81,2019-03-23T12:22:39Z,2015-01-08T02:13:14Z
91.230.243.3,plank.chrisw.net.,GB,,dnsmasq-2.48,,false,0.98,2019-03-23T12:22:38Z,2015-01-08T02:14:08Z
115.160.156.42,,HK,Central,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,0.95,2019-03-23T12:22:39Z,2015-01-08T02:14:26Z
203.21.194.21,dns2.ucrh.edu.au.,AU,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.98,2019-03-23T12:22:40Z,2015-01-08T02:17:55Z
220.130.135.86,220-130-135-86.HINET-IP.hinet.net.,TW,Taipei,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.12,,false,0.81,2019-03-23T12:22:41Z,2015-01-08T02:18:33Z
168.187.46.241,,KW,,You Must Be Kidding,,false,0.88,2019-03-23T12:22:39Z,2015-01-08T02:19:35Z
134.39.190.4,cbc-ns1.cbc.ctc.edu.,US,Kennewick,,,false,0.99,2019-03-23T12:22:40Z,2015-01-08T02:20:19Z
118.129.88.231,mail.pistamco.co.kr.,KR,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.99,2019-03-23T12:22:41Z,2015-01-08T02:20:31Z
195.209.144.228,,RU,,Microsoft DNS 6.0.6001 (17714726),,false,0.98,2019-03-23T12:22:39Z,2015-01-08T02:23:53Z
213.74.118.130,host-213-74-118-130.superonline.net.,TR,Istanbul,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.98,2019-03-23T12:22:44Z,2015-01-08T02:26:11Z
92.244.239.174,,RU,Voronezh,9.11.3-1ubuntu1.3-Ubuntu,,false,0.98,2019-03-23T12:22:40Z,2015-01-08T02:27:18Z
159.224.36.70,70.36.224.159.triolan.net.,UA,Kharkiv,,,false,0.78,2019-03-23T12:22:40Z,2015-01-08T02:27:34Z
64.202.177.86,ip-64-202-177-86.secureserver.net.,US,Scottsdale,,,false,0.34,2019-03-23T12:22:43Z,2015-01-08T02:29:44Z
59.120.193.163,59-120-193-163.HINET-IP.hinet.net.,TW,Taipei,,,false,0.99,2019-03-23T12:22:41Z,2015-01-08T02:30:33Z
103.240.100.93,,IN,Chennai,dnsmasq-2.48,,false,0.97,2019-03-23T12:22:44Z,2015-01-08T02:31:38Z
84.1.251.253,,HU,,,,false,0.98,2019-03-23T12:22:40Z,2015-01-08T02:31:39Z
80.88.99.79,79.99.88.80.sta.ac-net.se.,SE,Storuman,9.8.2rc1-RedHat-9.8.2-0.68.rc1.el6_10.1,,true,0.99,2019-03-23T12:22:40Z,2015-01-08T02:31:52Z
109.228.4.87,server109-228-4-87.live-servers.net.,GB,,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.98,2019-03-23T12:22:40Z,2015-01-08T02:32:16Z
112.121.178.189,,HK,Cheung Sha Wan,dnsmasq-2.48,,true,0.92,2019-03-23T12:22:42Z,2015-01-08T02:32:34Z
213.34.81.26,D522511A.static.ziggozakelijk.nl.,NL,Badhoevedorp,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.98,2019-03-23T12:22:40Z,2015-01-08T02:32:55Z
24.199.154.91,merchantware.com.,US,Apex,Microsoft DNS 6.0.6002 (17724D35),,false,0.99,2019-03-23T12:22:41Z,2015-01-08T02:35:16Z
124.248.189.192,fiber-189-192.online.com.kh.,KH,Phnom Penh,dnsmasq-2.40,,false,0.67,2019-03-23T12:22:42Z,2015-01-08T02:35:17Z
70.74.70.138,S0106d4ca6dd07ea4.nb.shawcable.net.,CA,Dawson Creek,,,false,0.98,2019-03-23T12:22:42Z,2015-01-08T02:35:39Z
59.125.176.88,59-125-176-88.HINET-IP.hinet.net.,TW,Taipei,,,false,0.98,2019-03-23T12:22:42Z,2015-01-08T02:37:08Z
81.18.208.206,81-18-208-206.static.chello.pl.,PL,,dnsmasq-2.76,,false,0.99,2019-03-23T12:22:41Z,2015-01-08T02:38:03Z
118.163.203.233,118-163-203-233.HINET-IP.hinet.net.,TW,Chang-hua,x.x.x,,false,0.96,2019-03-23T12:22:42Z,2015-01-08T02:38:25Z
121.180.117.234,,KR,,,,false,0.97,2019-03-23T12:22:45Z,2015-01-08T02:41:45Z
83.206.252.208,,FR,Roissy-en-Brie,Microsoft DNS 6.0.6002 (17724C46),,false,0.99,2019-03-23T12:22:45Z,2015-01-08T02:42:25Z
218.227.140.94,FLH9Aad014.hrs.mesh.ad.jp.,JP,,nskw,,false,0.99,2019-03-23T12:22:43Z,2015-01-08T02:42:26Z
188.40.115.29,visualsuite.ch.,DE,,dnsmasq-2.45,,true,0.98,2019-03-23T12:22:40Z,2015-01-08T02:43:17Z
118.140.4.4,,HK,Central,9.3.6-P1,,false,0.99,2019-03-23T12:22:43Z,2015-01-08T02:43:18Z
91.82.63.155,,HU,Békéscsaba,,,false,0.98,2019-03-23T12:22:45Z,2015-01-08T02:43:22Z
186.73.138.146,,PA,Panama City,,,false,0.98,2019-03-23T12:22:42Z,2015-01-08T02:43:34Z
107.6.45.4,,US,Santa Ana,dnsmasq-2.48,,true,0.86,2019-03-23T12:22:41Z,2015-01-08T02:44:00Z
125.141.231.15,,KR,,,,false,0.99,2019-03-23T12:22:45Z,2015-01-08T02:45:26Z
80.242.44.90,stargate2.axalnet.sk.,SK,Topoľčany,dnsmasq-2.48,,true,0.98,2019-03-23T12:22:41Z,2015-01-08T02:46:08Z
118.69.35.192,,VN,Ho Chi Minh City,dnsmasq-2.76,,false,0.99,2019-03-23T12:22:42Z,2015-01-08T02:46:42Z
87.98.216.195,titien.squarepartners.com.,FR,,9.3.5-P1,,false,0.99,2019-03-23T12:22:41Z,2015-01-08T02:49:29Z
210.59.13.1,gc.tnvs.tn.edu.tw.,TW,,,,false,0.98,2019-03-23T12:22:45Z,2015-01-08T02:49:32Z
195.138.85.216,195-138-85-216.broadband.tenet.odessa.ua.,UA,Odesa,dnsmasq-2.45,,true,0.98,2019-03-23T12:22:41Z,2015-01-08T02:49:55Z
190.181.5.187,static-190-181-5-187.acelerate.net.,BO,,,,false,0.99,2019-03-23T12:22:42Z,2015-01-08T02:50:13Z
185.42.61.3,3.binat-pool.smarthome.spb.ru.,RU,St Petersburg,,,false,0.98,2019-03-23T12:22:42Z,2015-01-08T02:51:36Z
95.167.0.1,,RU,,,,false,0.98,2019-03-23T12:22:42Z,2015-01-08T02:52:48Z
125.141.231.71,,KR,,,,false,0.99,2019-03-23T12:22:47Z,2015-01-08T02:53:04Z
194.54.66.142,,RU,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.99,2019-03-23T12:22:46Z,2015-01-08T02:53:25Z
187.12.219.106,,BR,Rio de Janeiro,,,true,0.97,2019-03-23T12:22:43Z,2015-01-08T02:54:12Z
193.161.13.33,,UA,Kyiv,,,false,0.98,2019-03-23T12:22:42Z,2015-01-08T02:57:25Z
164.100.138.248,,IN,,Microsoft DNS 6.0.6001 (17714726),,false,0.97,2019-03-23T12:22:44Z,2015-01-08T02:57:26Z
203.236.20.11,gate2.sktelecom.com.,KR,,,,false,0.98,2019-03-23T12:22:45Z,2015-01-08T02:57:46Z
